1,1,Thu Jun 19 17:53:01 PDT 2014,Thu Jun 19 17:53:01 PDT 2014,Thu Jun 19 17:53:01 PDT 2014
2,4,Thu Jun 19 17:53:01 PDT 2014,Thu Jun 19 17:53:01 PDT 2014,Thu Jun 19 17:53:01 PDT 2014
3,9,Thu Jun 19 17:53:01 PDT 2014,Thu Jun 19 17:53:01 PDT 2014,Thu Jun 19 17:53:01 PDT 2014
19,361,Thu Jun 19 17:53:01 PDT 2014,Thu Jun 19 17:53:01 PDT 2014,Thu Jun 19 17:53:01 PDT 2014
23,529,Thu Jun 19 17:53:01 PDT 2014,Thu Jun 19 17:53:01 PDT 2014,Thu Jun 19 17:53:01 PDT 2014
29,841,Thu Jun 19 17:53:01 PDT 2014,Thu Jun 19 17:53:01 PDT 2014,Thu Jun 19 17:53:01 PDT 2014
31,961,Thu Jun 19 17:53:01 PDT 2014,Thu Jun 19 17:53:01 PDT 2014,Thu Jun 19 17:53:01 PDT 2014
43,1849,Thu Jun 19 17:53:01 PDT 2014,Thu Jun 19 17:53:01 PDT 2014,Thu Jun 19 17:53:01 PDT 2014
41,1681,Thu Jun 19 17:53:01 PDT 2014,Thu Jun 19 17:53:01 PDT 2014,Thu Jun 19 17:53:01 PDT 2014
47,2209,Thu Jun 19 17:53:01 PDT 2014,Thu Jun 19 17:53:01 PDT 2014,Thu Jun 19 17:53:01 PDT 2014
53,2809,Thu Jun 19 17:53:01 PDT 2014,Thu Jun 19 17:53:01 PDT 2014,Thu Jun 19 17:53:01 PDT 2014
37,1369,Thu Jun 19 17:53:01 PDT 2014,Thu Jun 19 17:53:01 PDT 2014,Thu Jun 19 17:53:01 PDT 2014
59,3481,Thu Jun 19 17:53:01 PDT 2014,Thu Jun 19 17:53:01 PDT 2014,Thu Jun 19 17:53:01 PDT 2014
61,3721,Thu Jun 19 17:53:01 PDT 2014,Thu Jun 19 17:53:01 PDT 2014,Thu Jun 19 17:53:01 PDT 2014
71,5041,Thu Jun 19 17:53:01 PDT 2014,Thu Jun 19 17:53:01 PDT 2014,Thu Jun 19 17:53:01 PDT 2014
